#uniacc,domains,threshold
P42950;MA0308.1;GSM1
P42944;MA0309.1;GZF3
P41546;MA0310.1;HAC1
Q12180;MA0311.1;HAL9
P0CE41;MA0312.1;HAP1
P06774;MA0313.1;HAP2
P13434;MA0314.1;HAP3
Q02516;MA0316.1;HAP5
P25364;MA0317.1;HCM1
P0CY13;MA0318.1;HMRA2
P10961;MA0319.1;HSF1
P21190;MA0320.1;IME1
P26798;MA0321.1;INO2
P13902;MA0322.1;INO4
P33417;MA0323.1;IXR1
P08638;MA0324.1;LEU3
P40971;MA0325.1;LYS14
P35192;MA0326.1;MAC1
P0CY11;MA0327.1;HMRA1
P0CY08;MA0328.2;MATALPHA2
P39678;MA0329.1;MBP1
P39678;MA0330.1;MBP1::SWI6
P09959;MA0330.1;MBP1::SWI6
P11746;MA0331.1;MCM1
P40573;MA0332.1;MET28
Q03081;MA0333.1;MET31
Q12041;MA0334.1;MET32
P32389;MA0335.1;MET4
P53050;MA0336.1;MGA1
P27705;MA0337.1;MIG1
P53035;MA0338.1;MIG2
P39943;MA0339.1;MIG3
P54785;MA0340.1;MOT3
P33748;MA0341.1;MSN2
P33749;MA0342.1;MSN4
P38830;MA0343.1;NDT80
Q03435;MA0344.1;NHP10
P11632;MA0345.1;NHP6A
P11633;MA0346.1;NHP6B
Q03125;MA0347.1;NRG1
P39720;MA0348.1;OAF1
P21957;MA0349.1;OPI1
P34219;MA0350.1;TOD6
P40059;MA0351.1;DOT6
P12383;MA0352.1;PDR1
P33200;MA0353.1;PDR3
Q06149;MA0354.1;PDR8
P36093;MA0355.1;PHD1
P07269;MA0356.1;PHO2
P07270;MA0357.1;PHO4
P25502;MA0358.1;PUT3
P11938;MA0359.1;RAP1
Q08904;MA0360.1;RDR1
P25611;MA0361.1;RDS1
P19541;MA0362.1;RDS2
P21538;MA0363.1;REB1
P38344;MA0364.1;REI1
P48743;MA0365.1;RFX1
Q00453;MA0366.1;RGM1
P32862;MA0367.1;RGT1
P33400;MA0368.1;RIM101
Q12224;MA0369.1;RLM1
P32338;MA0370.1;RME1
P25042;MA0371.1;ROX1
P39956;MA0372.1;RPH1
Q03465;MA0373.1;RPN4
Q06639;MA0374.1;RSC3
P38781;MA0375.1;RSC30
P38165;MA0376.1;RTG3
P20134;MA0377.1;SFL1
P32432;MA0378.1;SFP1
P34909;MA0379.1;MOT2
P46954;MA0380.1;SIP4
P38889;MA0381.1;SKN7
Q02100;MA0382.1;SKO1
P38128;MA0383.1;SMP1
P53127;MA0384.1;SNT2
P53438;MA0385.1;SOK2
P13393;MA0386.1;SPT15
P06843;MA0387.1;SPT2
P35210;MA0388.1;SPT23
P09007;MA0389.1;SRD1
Q12427;MA0390.1;STB3
P50104;MA0391.1;STB4
P38699;MA0392.1;STB5
P13574;MA0393.1;STE12
Q00947;MA0394.1;STP1
P38704;MA0395.1;STP2
Q05937;MA0396.1;STP3
Q07351;MA0397.1;STP4
P46676;MA0398.1;SUM1
P53032;MA0399.1;SUT1
Q12286;MA0400.1;SUT2
P25302;MA0401.1;SWI4
P08153;MA0402.1;SWI5
Q02457;MA0403.1;TBF1
P38114;MA0404.1;TBS1
P47988;MA0405.1;TEA1
P18412;MA0406.1;TEC1
P38141;MA0407.1;THI2
P53147;MA0408.1;TOS8
P33122;MA0409.1;TYE7
P26370;MA0410.1;UGA3
Q12151;MA0411.1;UPC2
P39001;MA0412.1;UME6
Q12132;MA0413.1;USV1
P40489;MA0414.1;XBP1
P19880;MA0415.1;YAP1
P38749;MA0416.1;YAP3
P40574;MA0417.1;YAP5
Q03935;MA0418.1;YAP6
Q08182;MA0419.1;YAP7
P38140;MA0420.1;ERT1
Q12457;MA0421.1;NSI1
Q04411;MA0422.1;URC2
P39959;MA0423.1;YER130C
P39961;MA0424.1;YER184C
P53243;MA0425.1;YGR067C
Q04116;MA0426.1;YHP1
P35995;MA0428.1;YKL222C
Q12244;MA0429.1;YLL054C
Q05854;MA0430.1;YLR278C
Q04545;MA0431.1;TDA9
P53749;MA0432.1;YNR063W
P34161;MA0433.1;YOX1
Q12145;MA0434.1;YPR013C
Q12531;MA0435.1;YPR015C
Q12139;MA0436.1;YPR022C
Q06595;MA0437.1;YPR196W
Q12340;MA0438.1;YRM1
Q12172;MA0439.1;YRR1
P47043;MA0440.1;ZAP1
P46974;MA0441.1;ZMS1
P56693;MA0442.1;SOX10
Q24266;MA0443.1;btd
M9NDG6;MA0444.1;CG34031
Q24533;MA0445.1;D
P14734;MA0446.1;fkh
P39572;MA0447.1;gt
P10035;MA0448.1;H2.0
P14003;MA0449.1;h
Q9VN10;MA0450.1;hkb
P10734;MA0451.1;kni
P07247;MA0452.2;Kr
P23803;MA0454.1;odd
P39768;MA0456.1;opa
Q9W1H7;MA0457.1;PHDP
P32030;MA0458.1;slp1
P18102;MA0459.1;tll
P17789;MA0460.1;ttk
P48985;MA0461.2;Atoh1
Q16520;MA0462.1;BATF::JUN
P05412;MA0462.1;BATF::JUN
P41183;MA0463.1;Bcl6
O14503;MA0464.2;BHLHE40
Q99626;MA0465.1;CDX2
P17676;MA0466.2;CEBPB
O54751;MA0467.1;Crx
Q9UBX2;MA0468.1;DUX4
O00716;MA0469.2;E2F3
Q16254;MA0470.1;E2F4
O75461;MA0471.1;E2F6
